query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors
FROM realtime.list_changes($1, $2, $3, $4)",supabase_admin,258246,5.42303892161352,3.473345,3832.803297,1400478.10935099,23,100.0000000000000000,17.427162512429046,null
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT ""public"".""main_shell_badge_counts_bundle""() pgrst_scalar) pgrst_call) SELECT $3::bigint AS total_result_set, $4 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$5, $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""main_shell_badge_counts_bundle"".* FROM ""pgrst_source"" AS ""main_shell_badge_counts_bundle""   LIMIT $1 OFFSET $2) _postgrest_t",authenticated,3569,391.049366257495,2.759209,7544.523888,1395655.188173,3569,99.9990748844068066,17.367147414304863,null
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT ""public"".""main_shell_layout_bundle""() pgrst_scalar) pgrst_call) SELECT $3::bigint AS total_result_set, $4 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$5, $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""main_shell_layout_bundle"".* FROM ""pgrst_source"" AS ""main_shell_layout_bundle""   LIMIT $1 OFFSET $2) _postgrest_t",authenticated,783,890.561545518518,2.779434,7710.217508,697309.690141,783,99.9988175060974726,8.677129053598911,null
"select
  net.http_post(
      url:=$1,
      headers:=jsonb_build_object($2, $3), 
      timeout_milliseconds:=$4
  )",postgres,18537,22.87740200383,2.196242,2506.690128,424078.400944999,18537,100.0000000000000000,5.277114409667168,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""p_org_id"" FROM json_to_record(pgrst_payload.json_data) AS _(""p_org_id"" uuid) LIMIT $4) pgrst_body , LATERAL ""public"".""get_my_permissions""(""p_org_id"" := pgrst_body.""p_org_id"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""text"".* FROM ""pgrst_source"" AS ""text""   LIMIT $2 OFFSET $3) _postgrest_t",authenticated,2702,146.634043323834,1.323749,5846.061381,396205.185061001,2702,99.9999115961926248,4.930267815128421,null
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT ""public"".""broadcast_unread_count""() pgrst_scalar) pgrst_call) SELECT $3::bigint AS total_result_set, $4 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$5, $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""broadcast_unread_count"".* FROM ""pgrst_source"" AS ""broadcast_unread_count""   LIMIT $1 OFFSET $2) _postgrest_t",authenticated,3862,100.680716722165,0.397568,4717.497146,388828.927981,3862,99.9990775111990140,4.838479710760119,null
"WITH pgrst_source AS (SELECT pgrst_call.pgrst_scalar FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""p_user_id"", ""p_org_id"", ""p_permission_key"", ""p_context"" FROM json_to_record(pgrst_payload.json_data) AS _(""p_user_id"" uuid, ""p_org_id"" uuid, ""p_permission_key"" text, ""p_context"" jsonb) LIMIT $4) pgrst_body , LATERAL (SELECT ""public"".""has_permission""(""p_user_id"" := pgrst_body.""p_user_id"", ""p_org_id"" := pgrst_body.""p_org_id"", ""p_permission_key"" := pgrst_body.""p_permission_key"", ""p_context"" := pgrst_body.""p_context"") pgrst_scalar) pgrst_call) SELECT $5::bigint AS total_result_set, $6 AS page_total, coalesce(json_agg(_postgrest_t.pgrst_scalar)->$7, $8) AS body, nullif(current_setting($9, $10), $11) AS response_headers, nullif(current_setting($12, $13), $14) AS response_status, $15 AS response_inserted FROM (SELECT ""has_permission"".* FROM ""pgrst_source"" AS ""has_permission""   LIMIT $2 OFFSET $3) _postgrest_t",authenticated,3762,83.2818168112707,0.346926,5936.753017,313306.194844001,3762,99.9990907861403985,3.898695693449615,null
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",authenticated,79576,3.39115991702273,0.019233,2133.265382,269854.941557001,79576,100.0000000000000000,3.358000307106031,null
SELECT name FROM pg_timezone_names,authenticator,327,757.859882,52.436331,7525.897679,247820.181414,391092,0,3.08380584210834,null
"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors,
       slot_changes_count
FROM realtime.list_changes($1, $2, $3, $4)",supabase_admin,20227,11.6895186725664,5.252442,3798.998002,236443.894190001,20227,100.0000000000000000,2.9422424682027124,null
