event_message,id,timestamp
Schema cache loaded in 197.8 milliseconds,ff4242cb-5181-4a3d-8056-8e0fd4e45b5a,1776014959751823
"Schema cache loaded 97 Relations, 109 Relationships, 229 Functions, 0 Domain Representations, 4 Media Type Handlers, 1196 Timezones",82627656-62fc-4161-a925-19aa134337b3,1776014959751602
Schema cache queried in 3923.7 milliseconds,badeb3b9-7d4e-4466-9462-0c5b40eadeb7,1776014959553701
Config reloaded,d2b0bd0f-5fae-46f9-bff5-651cf23655bb,1776014955605797
Connection Pool initialized with a maximum size of 10 connections,53126bc2-cd1b-4e11-8911-f6bdee082ae9,1776014954991561
"Successfully connected to PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",69b2b69b-d84b-4159-b872-da2945617597,1776014954983769
Schema cache loaded in 2561.8 milliseconds,719f9916-4314-4dc8-9e5e-aa5a18669e05,1776014952811223
"Schema cache loaded 97 Relations, 109 Relationships, 229 Functions, 0 Domain Representations, 4 Media Type Handlers, 1196 Timezones",56b97591-5e96-432b-aee2-b538ab9139b9,1776014952761766
Schema cache queried in 21619.0 milliseconds,a2e34702-5aac-4f74-9ca5-c68b0513ad82,1776014950199936
"127.0.0.1 - authenticated [12/Apr/2026:17:29:06 +0000] ""GET /profiles?select=id%2Cfull_name%2Cemail%2Crole%2Cstatus%2Ccreated_at%2Creports_to_user_id&org_id=eq.5e315d2c-8f49-4427-aec5-a8454dda1e96&order=created_at.desc&limit=500 HTTP/1.1"" 503 119 """" ""node""",0e82dd1a-443a-4197-a51f-c6649ec9b712,1776014946490716
"127.0.0.1 - authenticated [12/Apr/2026:17:29:06 +0000] ""GET /profiles?select=id%2Cfull_name%2Cemail%2Crole%2Cstatus%2Ccreated_at%2Creports_to_user_id&org_id=eq.5e315d2c-8f49-4427-aec5-a8454dda1e96&order=created_at.desc&limit=500 HTTP/1.1"" 503 119 """" ""node""",5147f8e0-2e52-4a49-b0ca-7ccf75e233f3,1776014946487468
"{""code"":""PGRST002"",""details"":null,""hint"":null,""message"":""Could not query the database for the schema cache. Retrying.""}",8329f76e-27c0-4860-a1f2-2e93e162fec1,1776014946446345
"{""code"":""PGRST002"",""details"":null,""hint"":null,""message"":""Could not query the database for the schema cache. Retrying.""}",c0365970-5389-4dbc-ac62-ebea10f61105,1776014946436055
"127.0.0.1 - authenticated [12/Apr/2026:17:29:04 +0000] ""GET /profiles?select=id%2Cfull_name%2Cemail%2Crole%2Cstatus%2Ccreated_at%2Creports_to_user_id&org_id=eq.5e315d2c-8f49-4427-aec5-a8454dda1e96&order=created_at.desc&limit=500 HTTP/1.1"" 503 119 """" ""node""",e212af38-de4b-46c0-9073-b3a6a6a247a9,1776014945440282
"{""code"":""PGRST002"",""details"":null,""hint"":null,""message"":""Could not query the database for the schema cache. Retrying.""}",fbdb09a1-2740-4a31-84af-136d13d2bea9,1776014945424411
"127.0.0.1 - authenticated [12/Apr/2026:17:29:04 +0000] ""GET /profiles?select=id%2Cfull_name%2Cemail%2Crole%2Cstatus%2Ccreated_at%2Creports_to_user_id&org_id=eq.5e315d2c-8f49-4427-aec5-a8454dda1e96&order=created_at.desc&limit=500 HTTP/1.1"" 503 119 """" ""node""",685eaad0-bd1b-4111-aa31-a154b6f3fbdf,1776014945393664
"{""code"":""PGRST002"",""details"":null,""hint"":null,""message"":""Could not query the database for the schema cache. Retrying.""}",5dc92aa7-c5bc-489e-8a33-a54b7d0f31ed,1776014945380259
"127.0.0.1 - authenticated [12/Apr/2026:17:29:04 +0000] ""GET /profiles?select=id%2Cfull_name%2Cemail%2Crole%2Cstatus%2Ccreated_at%2Creports_to_user_id&org_id=eq.5e315d2c-8f49-4427-aec5-a8454dda1e96&order=created_at.desc&limit=500 HTTP/1.1"" 503 119 """" ""node""",c3e80cc9-4b4b-42c9-80ae-825aefe468d9,1776014945261302
