kind,routePath,concretePath,isDynamic,preferredUrl,localhostUrl,orgSubdomainUrl,adminHostUrl,sourceFile,surfaceOwner,accessPattern,queryShape,fallbackBehavior,invalidationDependency,priority,directReadCount,rpcCount,fromCount,sharedLoaderCount,shellBundleCount,promiseAllCount,withServerPerfCount,hasLocalMapCache,hasTimeoutFallback,hasStaleWindow,classificationNotes,notes
page,/,/,false,http://localhost:3000/,http://localhost:3000/,http://demo.localhost:3000/,http://admin.localhost:3000/,apps/web/src/app/page.tsx,root,direct query,fan-out,none,none,low,1,0,1,0,0,1,0,false,false,false,direct reads:1; promiseAll:1,
page,/admin,/admin,false,http://localhost:3000/admin,http://localhost:3000/admin,http://demo.localhost:3000/admin,http://admin.localhost:3000/admin,apps/web/src/app/(main)/admin/page.tsx,admin,indirect/unclear,indirect/unclear,none,unclear,medium,0,0,0,0,0,0,4,false,false,false,,
page,/admin/applications,/admin/applications,false,http://localhost:3000/admin/applications,http://localhost:3000/admin/applications,http://demo.localhost:3000/admin/applications,http://admin.localhost:3000/admin/applications,apps/web/src/app/(main)/admin/applications/page.tsx,admin,mixed,fan-out,none,mixed,high,1,0,1,2,1,1,3,false,false,false,uses shell bundle; shared loaders:1; direct reads:1; promiseAll:1,
page,/admin/broadcasts,/admin/broadcasts,false,http://localhost:3000/admin/broadcasts,http://localhost:3000/admin/broadcasts,http://demo.localhost:3000/admin/broadcasts,http://admin.localhost:3000/admin/broadcasts,apps/web/src/app/(main)/admin/broadcasts/page.tsx,admin,direct query,single,none,none,medium,2,1,1,0,0,0,0,false,false,false,direct reads:2,
page,/admin/categories,/admin/categories,false,http://localhost:3000/admin/categories,http://localhost:3000/admin/categories,http://demo.localhost:3000/admin/categories,http://admin.localhost:3000/admin/categories,apps/web/src/app/(main)/admin/categories/page.tsx,admin,direct query,single,none,none,medium,2,1,1,0,0,0,0,false,false,false,direct reads:2,
page,/admin/departments,/admin/departments,false,http://localhost:3000/admin/departments,http://localhost:3000/admin/departments,http://demo.localhost:3000/admin/departments,http://admin.localhost:3000/admin/departments,apps/web/src/app/(main)/admin/departments/page.tsx,admin,indirect/unclear,org-wide aggregate,none,unclear,high,0,0,0,0,0,0,3,false,false,false,,
page,/admin/discount,/admin/discount,false,http://localhost:3000/admin/discount,http://localhost:3000/admin/discount,http://demo.localhost:3000/admin/discount,http://admin.localhost:3000/admin/discount,apps/web/src/app/(main)/admin/discount/page.tsx,admin,direct query,single,none,none,medium,1,1,0,0,0,0,0,false,false,false,direct reads:1,
page,/admin/hr,/admin/hr,false,http://localhost:3000/admin/hr,http://localhost:3000/admin/hr,http://demo.localhost:3000/admin/hr,http://admin.localhost:3000/admin/hr,apps/web/src/app/(main)/admin/hr/page.tsx,admin,shared page-data cache,single,none,shared invalidation,medium,0,0,0,2,1,0,2,false,false,false,uses shell bundle; shared loaders:1,
page,/admin/hr/absence-reporting,/admin/hr/absence-reporting,false,http://localhost:3000/admin/hr/absence-reporting,http://localhost:3000/admin/hr/absence-reporting,http://demo.localhost:3000/admin/hr/absence-reporting,http://admin.localhost:3000/admin/hr/absence-reporting,apps/web/src/app/(main)/admin/hr/absence-reporting/page.tsx,admin,mixed,org-wide aggregate,none,mixed,high,4,3,1,1,1,1,5,false,false,false,uses shell bundle; direct reads:4; promiseAll:1,
page,/admin/hr/custom-fields,/admin/hr/custom-fields,false,http://localhost:3000/admin/hr/custom-fields,http://localhost:3000/admin/hr/custom-fields,http://demo.localhost:3000/admin/hr/custom-fields,http://admin.localhost:3000/admin/hr/custom-fields,apps/web/src/app/(main)/admin/hr/custom-fields/page.tsx,admin,shell bundle,single,none,shared invalidation,low,0,0,0,1,1,0,2,false,false,false,uses shell bundle,
page,/admin/hr/[userId],/admin/hr/example,true,http://localhost:3000/admin/hr/example,http://localhost:3000/admin/hr/example,http://demo.localhost:3000/admin/hr/example,http://admin.localhost:3000/admin/hr/example,apps/web/src/app/(main)/admin/hr/[userId]/page.tsx,admin,mixed,fan-out,timeout fallback + manual local cache,mixed,high,5,2,3,1,1,4,1,true,true,false,uses shell bundle; direct reads:5; promiseAll:4; local Map cache; timeout path,"Dynamic route converted with placeholder ""example"""
page,/admin/hr/hr-metric-alerts,/admin/hr/hr-metric-alerts,false,http://localhost:3000/admin/hr/hr-metric-alerts,http://localhost:3000/admin/hr/hr-metric-alerts,http://demo.localhost:3000/admin/hr/hr-metric-alerts,http://admin.localhost:3000/admin/hr/hr-metric-alerts,apps/web/src/app/(main)/admin/hr/hr-metric-alerts/page.tsx,admin,none,none,none,unclear,low,0,0,0,0,0,0,0,false,false,false,,
page,/admin/hr/onboarding,/admin/hr/onboarding,false,http://localhost:3000/admin/hr/onboarding,http://localhost:3000/admin/hr/onboarding,http://demo.localhost:3000/admin/hr/onboarding,http://admin.localhost:3000/admin/hr/onboarding,apps/web/src/app/(main)/admin/hr/onboarding/page.tsx,admin,shared page-data cache,fan-out,none,shared invalidation,high,0,0,0,2,1,1,4,false,false,false,uses shell bundle; shared loaders:1; promiseAll:1,
page,/admin/hr/onboarding/[runId],/admin/hr/onboarding/example,true,http://localhost:3000/admin/hr/onboarding/example,http://localhost:3000/admin/hr/onboarding/example,http://demo.localhost:3000/admin/hr/onboarding/example,http://admin.localhost:3000/admin/hr/onboarding/example,apps/web/src/app/(main)/admin/hr/onboarding/[runId]/page.tsx,admin,mixed,bounded detail,timeout fallback,mixed,high,1,0,1,1,1,0,5,false,true,false,uses shell bundle; direct reads:1; timeout path,"Dynamic route converted with placeholder ""example"""
page,/admin/hr/one-on-ones,/admin/hr/one-on-ones,false,http://localhost:3000/admin/hr/one-on-ones,http://localhost:3000/admin/hr/one-on-ones,http://demo.localhost:3000/admin/hr/one-on-ones,http://admin.localhost:3000/admin/hr/one-on-ones,apps/web/src/app/(main)/admin/hr/one-on-ones/page.tsx,admin,mixed,single,none,mixed,high,1,1,0,1,1,0,2,false,false,false,uses shell bundle; direct reads:1,
