kind,routePath,concretePath,isDynamic,preferredUrl,localhostUrl,orgSubdomainUrl,adminHostUrl,sourceFile,surfaceOwner,accessPattern,queryShape,fallbackBehavior,invalidationDependency,priority,directReadCount,rpcCount,fromCount,sharedLoaderCount,shellBundleCount,promiseAllCount,withServerPerfCount,hasLocalMapCache,hasTimeoutFallback,hasStaleWindow,classificationNotes,notes
page,/,/,false,http://localhost:3000/,http://localhost:3000/,http://demo.localhost:3000/,http://admin.localhost:3000/,apps/web/src/app/page.tsx,root,direct query,fan-out,none,none,low,2,0,2,0,0,1,0,false,false,false,direct reads:2; promiseAll:1,
page,/admin,/admin,false,http://localhost:3000/admin,http://localhost:3000/admin,http://demo.localhost:3000/admin,http://admin.localhost:3000/admin,apps/web/src/app/(main)/admin/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,1,2,false,true,false,imports:3; uses shell bundle; shared loaders:1; promiseAll:1; timeout path,
page,/admin/applications,/admin/applications,false,http://localhost:3000/admin/applications,http://localhost:3000/admin/applications,http://demo.localhost:3000/admin/applications,http://admin.localhost:3000/admin/applications,apps/web/src/app/(main)/admin/applications/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,2,2,false,true,false,imports:3; uses shell bundle; shared loaders:1; promiseAll:2; timeout path,
page,/admin/broadcasts,/admin/broadcasts,false,http://localhost:3000/admin/broadcasts,http://localhost:3000/admin/broadcasts,http://demo.localhost:3000/admin/broadcasts,http://admin.localhost:3000/admin/broadcasts,apps/web/src/app/(main)/admin/broadcasts/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,2,0,false,true,false,imports:2; uses shell bundle; shared loaders:1; promiseAll:2; timeout path,
page,/admin/categories,/admin/categories,false,http://localhost:3000/admin/categories,http://localhost:3000/admin/categories,http://demo.localhost:3000/admin/categories,http://admin.localhost:3000/admin/categories,apps/web/src/app/(main)/admin/categories/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,1,0,false,true,false,imports:2; uses shell bundle; shared loaders:1; promiseAll:1; timeout path,
page,/admin/departments,/admin/departments,false,http://localhost:3000/admin/departments,http://localhost:3000/admin/departments,http://demo.localhost:3000/admin/departments,http://admin.localhost:3000/admin/departments,apps/web/src/app/(main)/admin/departments/page.tsx,admin,direct query,org-wide aggregate,none,none,high,1,0,1,0,0,1,12,false,false,false,imports:3; direct reads:1; promiseAll:1,
page,/admin/discount,/admin/discount,false,http://localhost:3000/admin/discount,http://localhost:3000/admin/discount,http://demo.localhost:3000/admin/discount,http://admin.localhost:3000/admin/discount,apps/web/src/app/(main)/admin/discount/page.tsx,admin,direct query,single,none,none,medium,3,1,2,0,0,0,0,false,false,false,direct reads:3,
page,/admin/hr,/admin/hr,false,http://localhost:3000/admin/hr,http://localhost:3000/admin/hr,http://demo.localhost:3000/admin/hr,http://admin.localhost:3000/admin/hr,apps/web/src/app/(main)/admin/hr/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,2,2,false,true,false,imports:3; uses shell bundle; shared loaders:1; promiseAll:2; timeout path,
page,/admin/hr/absence-reporting,/admin/hr/absence-reporting,false,http://localhost:3000/admin/hr/absence-reporting,http://localhost:3000/admin/hr/absence-reporting,http://demo.localhost:3000/admin/hr/absence-reporting,http://admin.localhost:3000/admin/hr/absence-reporting,apps/web/src/app/(main)/admin/hr/absence-reporting/page.tsx,admin,shared page-data cache,org-wide aggregate,timeout fallback,shared invalidation,medium,0,0,0,2,1,2,2,false,true,false,imports:3; uses shell bundle; shared loaders:1; promiseAll:2; timeout path,
page,/admin/hr/custom-fields,/admin/hr/custom-fields,false,http://localhost:3000/admin/hr/custom-fields,http://localhost:3000/admin/hr/custom-fields,http://demo.localhost:3000/admin/hr/custom-fields,http://admin.localhost:3000/admin/hr/custom-fields,apps/web/src/app/(main)/admin/hr/custom-fields/page.tsx,admin,mixed,org-wide aggregate,timeout fallback + manual local cache,mixed,high,1,0,1,1,1,1,2,true,true,false,imports:2; uses shell bundle; direct reads:1; promiseAll:1; local Map cache; timeout path,
